,class,sms,cleaned_sms
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
26,ham,Lol your always so convincing.,lol alway convinc
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bu fri egg make tea eat mom left dinner feel love
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",back amp pack car let know room
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vagu rememb feel like lol
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait still clear sure sarcast x want live us
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 go badli cheer
32,ham,K tell me anything about you.,k tell anyth
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear faint housework quick cuppa
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thank subscript rington uk mobil charg 5 month pleas confirm repli ye repli charg
35,ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look time msg xuhui go learn 2nd may lesson 8am
36,ham,"Oops, I'll let you know when my roommate's done",oop let know roommat done
37,ham,I see the letter B on my car,see letter b car
38,ham,Anything lor... U decide...,anyth lor u decid
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello saturday go text see decid anyth tomo tri invit anyth
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pl go ahead watt want sure great weekend abiola
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian steed mmmmmm yummi
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow
43,ham,WHO ARE YOU SEEING?,see
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endow lt gt inch
45,ham,No calls..messages..missed calls,call messag miss call
46,ham,Didn't you get hep b immunisation in nigeria.,get hep b immunis nigeria
47,ham,"Fair enough, anything going on?",fair enough anyth go
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hope tyler could mayb ask around bit
49,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
50,ham,What you thinked about me. First time you saw me in class.,think first time saw class
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride earli tomorrow morn crash place tonight
53,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find lt url gt
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm dont miss
57,ham,"Sorry, I'll call later in meeting.",sorri call later meet
58,ham,Tell where you reached,tell reach
59,ham,Yes..gauti and sehwag out of odi series.,ye gauti sehwag odi seri
60,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gonna pick 1 burger way home even move pain kill
61,ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situat seeker
62,ham,Its a part of checking IQ,part check iq
63,ham,"Sorry my roommates took forever, it ok if I come by now?",sorri roommat took forev ok come
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",valu custom pleas advis follow recent review mob award 1500 bonu prize call 09066364589
66,ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedic day song u dedic send ur valuabl frnd first rpli
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur award complimentari trip eurodisinc trav aco entry41 1000 claim txt di 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj
68,spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new divorc barbi come ken stuff
69,ham,I plane to give on this month end.,plane give month end
70,ham,Wah lucky man... Then can save money... Hee...,wah lucki man save money hee
71,ham,Finished class where are you.,finish class
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home wanna someth xx
73,ham,K..k:)where are you?how did you performed?,k k perform
74,ham,U can call me now...,u call
75,ham,I am waiting machan. Call me once you free.,wait machan call free
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,that cool gentleman treat digniti respect
77,ham,I like you peoples very much:) but am very shy pa.,like peopl much shi pa
78,ham,Does not operate after  &lt;#&gt;  or what,oper lt gt
79,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,still look job much ta earn
80,ham,"Sorry, I'll call later",sorri call later
81,ham,K. Did you call me just now ah? ,k call ah
82,ham,Ok i am on the way to home hi hi,ok way home hi hi
83,ham,You will be in the place of that man,place man
84,ham,Yup next stop.,yup next stop
85,ham,"I call you later, don't have network. If urgnt, sms me.",call later network urgnt sm
86,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real u get yo need 2 ticket one jacket done alreadi use multi
87,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ye start send request make pain came back back bed doubl coin factori gotta cash nitro
88,ham,I'm really not up to it still tonight babe,realli still tonight babe
89,ham,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free
90,ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,yeah stand close tho catch someth
91,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff42moro includ time sheet sorri
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,pleas call custom servic repres 0800 169 6031 10am 9pm guarante 1000 cash 5000 prize
94,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi
95,spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free rington wait collect simpli text password mix 85069 verifi get usher britney fml
96,ham,Watching telugu movie..wat abt u?,watch telugu movi wat abt u
97,ham,i see. When we finish we have loads of loans to pay,see finish load loan pay
98,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
99,ham,Please don't text me anymore. I have nothing else to say.,pleas text anymor noth els say
100,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen pick u ave x am xx
101,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,still look car buy gone 4the drive test yet
103,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
104,ham,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear
105,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thank lot wish birthday thank make birthday truli memor
106,ham,"Aight, I'll hit you up when I get some cash",aight hit get cash
107,ham,How would my ip address test that considering my computer isn't a minecraft server,would ip address test consid comput minecraft server
108,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpi old peopl mom like better lie alway one play joke
109,ham,Dont worry. I guess he's busy.,dont worri guess busi
110,ham,What is the plural of the noun research?,plural noun research
111,ham,Going for dinner.msg you after.,go dinner msg
112,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ok wif co like 2 tri new thing scare u dun like mah co u said loud
113,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent tri contact last weekend draw show 1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm
114,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
115,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",enter cabin pa said happi b day boss felt special askd 4 lunch lunch invit apart went
116,spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner u special select 2 receiv 1000 4 holiday flight inc speak live oper 2 claim 0871277810910p min 18
117,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo ye must speak friday egg potato ratio tortilla need
118,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm uncl inform pay school directli pl buy food
119,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir
120,spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobil award 2000 bonu caller prize 5 9 03 final tri contact u call landlin 09064019788 box42wr29c 150ppm
121,ham,here is my new address -apples&pairs&all that malarky,new address appl pair malarki
122,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app
123,ham,I am going to sao mu today. Will be done only at 12 ,go sao mu today done 12
124,ham,ÌÏ predict wat time Ì_'ll finish buying?,predict wat time finish buy
125,ham,"Good stuff, will do.",good stuff
126,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis
127,ham,Are you there in room.,room
128,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
129,ham,K..k:)how much does it cost?,k k much cost
130,ham,I'm home.,home
131,ham,"Dear, will call Tmorrow.pls accomodate.",dear call tmorrow pl accomod
132,ham,First answer my question.,first answer question
133,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 1 50 sp tyron
134,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 31p msg 150p
135,ham,I only haf msn. It's yijue@hotmail.com,haf msn yiju hotmail com
136,ham,He is there. You call and meet him,call meet
137,ham,No no. I will check all rooms befor activities,check room befor activ
138,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri
139,ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,got c lazi type forgot lect saw pouch like v nice
140,ham,"K, text me when you're on the way",k text way
141,ham,"Sir, Waiting for your mail.",sir wait mail
142,ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",swt thought nver get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8
143,ham,I know you are. Can you pls open the back?,know pl open back
144,ham,Yes see ya not on the dot,ye see ya dot
145,ham,Whats the staff name who is taking class for us?,what staff name take class us
146,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg repli text randi sexi femal live local luv hear u netcollex ltd 08700621170150p per msg repli stop end
147,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma call check life begin qatar pl pray hard
148,ham,K..i deleted my contact that why?,k delet contact
149,ham,Sindu got job in birla soft ..,sindu got job birla soft
150,ham,The wine is flowing and i'm i have nevering..,wine flow never
151,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine better co need 2 go 2 plaza mah
152,ham,Ok... Ur typical reply...,ok ur typic repli
154,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one
155,ham,Aaooooright are you at work?,aaooooright work
156,ham,I'm leaving my house now...,leav hous
157,ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello love get interview today happi good boy think miss
158,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri
159,spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner u special select 2 receiv 1000 cash 4 holiday flight inc speak live oper 2 claim 0871277810810
160,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep safe need miss alreadi envi everyon see real life
161,ham,New car and house for my parents.:)i have only new job in hand:),new car hous parent new job hand
162,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,love excit day spend make happi
163,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pl stop bootydeli 32 f invit friend repli ye 434 434 see www sm ac u bootydeli stop send stop frnd 62468
164,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil internet servic menu
165,ham,I place all ur points on e cultures module already.,place ur point e cultur modul alreadi
166,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent tri contact last weekend draw show 900 prize guarante call 09061701939 claim code s89 valid 12hr
167,ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd best way avoid missunderstd wit belov one
168,ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escap fanci bridg need lager see tomo
169,ham,Yes :)it completely in out of form:)clark also utter waste.,ye complet form clark also utter wast
170,ham,"Sir, I need AXIS BANK account no and bank address.",sir need axi bank account bank address
171,ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
172,ham,What time you coming down later? ,time come later
173,ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
174,ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",well gonna finish bath good fine night
175,ham,Let me know when you've got the money so carlos can make the call,let know got money carlo make call
176,ham,U still going to the mall?,u still go mall
177,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth
178,ham,Text her. If she doesnt reply let me know so i can have her log in,text doesnt repli let know log
179,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi spoke maneesha v like know satisfi experi repli toll free ye
180,ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend
181,ham,Lol no. U can trust me.,lol u trust
182,ham,ok. I am a gentleman and will treat you with dignity and respect.,ok gentleman treat digniti respect
183,ham,"He will, you guys close?",guy close
184,ham,Going on nothing great.bye,go noth great bye
185,ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsom find job lazi work toward get back net mummi boytoy miss
186,ham,"Haha awesome, be there in a minute",haha awesom minut
187,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,pleas call custom servic repres freephon 0808 145 4742 9am 11pm guarante 1000 cash 5000 prize
188,ham,Have you got Xmas radio times. If not i will get it now,got xma radio time get
189,ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ju reach home go bath first si use net tell u finish k
190,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,uniqu enough find 30th august www areyouuniqu co uk
191,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week
192,ham,Hi :)finally i completed the course:),hi final complet cours
193,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop howev suggest stay someon abl give or everi stool
194,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,hope settl new school year wishin gr8 day
195,ham,Gud mrng dear hav a nice day,gud mrng dear hav nice day
196,ham,Did u got that persons story,u got person stori
197,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead hey tmr meet 1pm orchard mrt
198,ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
199,ham,"Found it, ENC  &lt;#&gt; , where you at?",found enc lt gt
200,ham,I sent you  &lt;#&gt;  bucks,sent lt gt buck
201,ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finish colleg txt u finish u love kate xxx
202,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt
203,ham,Goodmorning sleeping ga.,goodmorn sleep ga
204,ham,U call me alter at 11 ok.,u call alter 11 ok
205,ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,say like dat dun buy ericsson oso cannot oredi lar
207,ham,"Aight yo, dats straight dogg",aight yo dat straight dogg
208,ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,pleas give us connect today lt decim gt refund bill
209,ham,Both :) i shoot big loads so get ready!,shoot big load get readi
210,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",bruv hope great break reward semest
211,ham,Home so we can always chat,home alway chat
212,ham,K:)k:)good:)study well.,k k good studi well
213,ham,Yup... How Ì_ noe leh...,yup noe leh
214,ham,Sounds great! Are you home now?,sound great home
215,ham,Finally the match heading towards draw as your prediction.,final match head toward draw predict
216,ham,Tired. I haven't slept well the past few nights.,tire slept well past night
217,ham,Easy ah?sen got selected means its good..,easi ah sen got select mean good
218,ham,I have to take exam with march 3,take exam march 3
219,ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah think use gt atm regist sure anyway help let know sure readi
220,ham,Ok no prob. Take ur time.,ok prob take ur time
221,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,os call ubandu run without instal hard disk use os copi import file system give repair shop
223,ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
224,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",500 new mobil 2004 must go txt nokia 89545 collect today 1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18
225,ham,Would really appreciate if you call me. Just need someone to talk to.,would realli appreci call need someon talk
226,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign e g horo ari
227,ham,Hey company elama po mudyadhu.,hey compani elama po mudyadhu
228,ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn
229,ham,Dear good morning now only i am up,dear good morn
230,ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,get gandhipuram walk cross cut road right side lt gt street road turn first right
231,ham,Dear we are going to our rubber place,dear go rubber place
232,ham,"Sorry battery died, yeah I'm here",sorri batteri die yeah
233,ham,Yes:)here tv is always available in work place..,ye tv alway avail work place
234,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,text meet someon sexi today u find date even flirt u join 4 10p repli name age eg sam 25 18 msg recd thirtyeight penc
235,ham,I have printed it oh. So  &lt;#&gt;  come upstairs,print oh lt gt come upstair
